Graph,Size,Metric,Property,Value
MaxCut-70-Xoshiro-553733,70,GraphCut,UpperBound,734
MaxCut-70-Xoshiro-728948,70,GraphCut,MaxCut,710
MaxCut-70-Xoshiro-804721,70,GraphCut,MaxCut,716
MaxCut-70-Xoshiro-932783,70,GraphCut,MaxCut,721
MaxCut-80-Xoshiro-186682,80,GraphCut,Heuristic,928
MaxCut-80-Xoshiro-186682,80,GraphCut,UpperBound,931
MaxCut-80-Xoshiro-198099,80,GraphCut,Heuristic,906
MaxCut-80-Xoshiro-198099,80,GraphCut,UpperBound,924
MaxCut-80-Xoshiro-36898,80,GraphCut,Heuristic,949
MaxCut-80-Xoshiro-36898,80,GraphCut,UpperBound,956
MaxCut-80-Xoshiro-412226,80,GraphCut,Heuristic,914
MaxCut-80-Xoshiro-412226,80,GraphCut,UpperBound,918
MaxCut-80-Xoshiro-457800,80,GraphCut,Heuristic,913
MaxCut-80-Xoshiro-457800,80,GraphCut,UpperBound,929
MaxCut-80-Xoshiro-584705,80,GraphCut,Heuristic,956
MaxCut-80-Xoshiro-584705,80,GraphCut,UpperBound,963
MaxCut-80-Xoshiro-693293,80,GraphCut,Heuristic,894
MaxCut-80-Xoshiro-693293,80,GraphCut,UpperBound,916
MaxCut-80-Xoshiro-709159,80,GraphCut,Heuristic,931
MaxCut-80-Xoshiro-709159,80,GraphCut,UpperBound,942
MaxCut-80-Xoshiro-755344,80,GraphCut,Heuristic,948
MaxCut-80-Xoshiro-755344,80,GraphCut,UpperBound,968
MaxCut-80-Xoshiro-760014,80,GraphCut,Heuristic,932
MaxCut-80-Xoshiro-760014,80,GraphCut,UpperBound,952
MaxCut-90-Xoshiro-116793,90,GraphCut,Heuristic,1139
MaxCut-90-Xoshiro-116793,90,GraphCut,UpperBound,1181
MaxCut-90-Xoshiro-147805,90,GraphCut,Heuristic,1150
MaxCut-90-Xoshiro-147805,90,GraphCut,UpperBound,1187
MaxCut-90-Xoshiro-202960,90,GraphCut,Heuristic,1152
MaxCut-90-Xoshiro-202960,90,GraphCut,UpperBound,1187
MaxCut-90-Xoshiro-208830,90,GraphCut,Heuristic,1166
MaxCut-90-Xoshiro-208830,90,GraphCut,UpperBound,1204
MaxCut-90-Xoshiro-279323,90,GraphCut,Heuristic,1140
MaxCut-90-Xoshiro-279323,90,GraphCut,UpperBound,1175
MaxCut-90-Xoshiro-300394,90,GraphCut,Heuristic,1163
MaxCut-90-Xoshiro-300394,90,GraphCut,UpperBound,1200
