Graph,Size,Metric,Property,Value
MaxCut-10-Xoshiro-199377,10,GraphCut,Best,14
MaxCut-10-Xoshiro-439244,10,GraphCut,Best,17
MaxCut-10-Xoshiro-578232,10,GraphCut,Best,18
MaxCut-10-Xoshiro-647856,10,GraphCut,Best,15
MaxCut-10-Xoshiro-682533,10,GraphCut,Best,19
MaxCut-10-Xoshiro-727936,10,GraphCut,Best,15
MaxCut-10-Xoshiro-7449,10,GraphCut,Best,17
MaxCut-10-Xoshiro-749195,10,GraphCut,Best,12
MaxCut-10-Xoshiro-956741,10,GraphCut,Best,18
MaxCut-10-Xoshiro-996666,10,GraphCut,Best,15
MaxCut-100-Xoshiro-138780,100,GraphCut,Heuristic,1439
MaxCut-100-Xoshiro-138780,100,GraphCut,UpperBound,1492
MaxCut-100-Xoshiro-280043,100,GraphCut,Heuristic,1441
MaxCut-100-Xoshiro-280043,100,GraphCut,UpperBound,1490
MaxCut-100-Xoshiro-584181,100,GraphCut,Heuristic,1424
MaxCut-100-Xoshiro-584181,100,GraphCut,UpperBound,1471
MaxCut-100-Xoshiro-611431,100,GraphCut,Heuristic,1452
MaxCut-100-Xoshiro-611431,100,GraphCut,UpperBound,1493
MaxCut-100-Xoshiro-685719,100,GraphCut,Heuristic,1452
MaxCut-100-Xoshiro-685719,100,GraphCut,UpperBound,1500
MaxCut-100-Xoshiro-744639,100,GraphCut,Heuristic,1425
MaxCut-100-Xoshiro-744639,100,GraphCut,UpperBound,1471
MaxCut-100-Xoshiro-746445,100,GraphCut,Heuristic,1453
MaxCut-100-Xoshiro-746445,100,GraphCut,UpperBound,1497
MaxCut-100-Xoshiro-818155,100,GraphCut,Heuristic,1423
MaxCut-100-Xoshiro-818155,100,GraphCut,UpperBound,1464
MaxCut-100-Xoshiro-82601,100,GraphCut,Heuristic,1438
MaxCut-100-Xoshiro-82601,100,GraphCut,UpperBound,1485
MaxCut-100-Xoshiro-997266,100,GraphCut,Heuristic,1454
MaxCut-100-Xoshiro-997266,100,GraphCut,UpperBound,1495
MaxCut-110-Xoshiro-284977,110,GraphCut,Heuristic,1731
MaxCut-110-Xoshiro-284977,110,GraphCut,UpperBound,1792
MaxCut-110-Xoshiro-43371,110,GraphCut,Heuristic,1708
MaxCut-110-Xoshiro-43371,110,GraphCut,UpperBound,1774
MaxCut-110-Xoshiro-508320,110,GraphCut,Heuristic,1732
MaxCut-110-Xoshiro-508320,110,GraphCut,UpperBound,1792
MaxCut-110-Xoshiro-529245,110,GraphCut,Heuristic,1747
MaxCut-110-Xoshiro-529245,110,GraphCut,UpperBound,1809
MaxCut-110-Xoshiro-58158,110,GraphCut,Heuristic,1740
MaxCut-110-Xoshiro-58158,110,GraphCut,UpperBound,1802
MaxCut-110-Xoshiro-638799,110,GraphCut,Heuristic,1678
MaxCut-110-Xoshiro-638799,110,GraphCut,UpperBound,1735
MaxCut-110-Xoshiro-713384,110,GraphCut,Heuristic,1764
MaxCut-110-Xoshiro-713384,110,GraphCut,UpperBound,1827
MaxCut-110-Xoshiro-763428,110,GraphCut,Heuristic,1712
MaxCut-110-Xoshiro-763428,110,GraphCut,UpperBound,1766
MaxCut-110-Xoshiro-871730,110,GraphCut,Heuristic,1729
MaxCut-110-Xoshiro-871730,110,GraphCut,UpperBound,1793
MaxCut-110-Xoshiro-880853,110,GraphCut,Heuristic,1730
MaxCut-110-Xoshiro-880853,110,GraphCut,UpperBound,1774
MaxCut-120-Xoshiro-311119,120,GraphCut,Heuristic,2039
MaxCut-120-Xoshiro-311119,120,GraphCut,UpperBound,2098
MaxCut-120-Xoshiro-405928,120,GraphCut,Heuristic,2053
MaxCut-120-Xoshiro-405928,120,GraphCut,UpperBound,2123
MaxCut-120-Xoshiro-426618,120,GraphCut,Heuristic,2039
MaxCut-120-Xoshiro-426618,120,GraphCut,UpperBound,2112
MaxCut-120-Xoshiro-479113,120,GraphCut,Heuristic,2058
MaxCut-120-Xoshiro-479113,120,GraphCut,UpperBound,2123
MaxCut-120-Xoshiro-627382,120,GraphCut,Heuristic,2049
MaxCut-120-Xoshiro-627382,120,GraphCut,UpperBound,2117
MaxCut-120-Xoshiro-67260,120,GraphCut,Heuristic,2045
MaxCut-120-Xoshiro-67260,120,GraphCut,UpperBound,2106
MaxCut-120-Xoshiro-831605,120,GraphCut,Heuristic,2045
MaxCut-120-Xoshiro-831605,120,GraphCut,UpperBound,2109
MaxCut-120-Xoshiro-882910,120,GraphCut,Heuristic,2066
MaxCut-120-Xoshiro-882910,120,GraphCut,UpperBound,2133
MaxCut-120-Xoshiro-902080,120,GraphCut,Heuristic,2057
MaxCut-120-Xoshiro-902080,120,GraphCut,UpperBound,2126
MaxCut-120-Xoshiro-943210,120,GraphCut,Heuristic,2038
MaxCut-120-Xoshiro-943210,120,GraphCut,UpperBound,2109
MaxCut-130-Xoshiro-183026,130,GraphCut,Heuristic,2349
MaxCut-130-Xoshiro-183026,130,GraphCut,UpperBound,2420
MaxCut-130-Xoshiro-306064,130,GraphCut,Heuristic,2359
MaxCut-130-Xoshiro-306064,130,GraphCut,UpperBound,2435
MaxCut-130-Xoshiro-367037,130,GraphCut,Heuristic,2391
MaxCut-130-Xoshiro-367037,130,GraphCut,UpperBound,2466
MaxCut-130-Xoshiro-448057,130,GraphCut,Heuristic,2361
MaxCut-130-Xoshiro-448057,130,GraphCut,UpperBound,2437
MaxCut-130-Xoshiro-544555,130,GraphCut,Heuristic,2402
MaxCut-130-Xoshiro-544555,130,GraphCut,UpperBound,2475
MaxCut-130-Xoshiro-647127,130,GraphCut,Heuristic,2415
MaxCut-130-Xoshiro-647127,130,GraphCut,UpperBound,2489
MaxCut-130-Xoshiro-756606,130,GraphCut,Heuristic,2373
MaxCut-130-Xoshiro-756606,130,GraphCut,UpperBound,2452
MaxCut-130-Xoshiro-860781,130,GraphCut,Heuristic,2356
MaxCut-130-Xoshiro-860781,130,GraphCut,UpperBound,2426
MaxCut-130-Xoshiro-871671,130,GraphCut,Heuristic,2361
MaxCut-130-Xoshiro-871671,130,GraphCut,UpperBound,2433
MaxCut-130-Xoshiro-885453,130,GraphCut,Heuristic,2365
MaxCut-130-Xoshiro-885453,130,GraphCut,UpperBound,2453
MaxCut-140-Xoshiro-158833,140,GraphCut,Heuristic,2760
MaxCut-140-Xoshiro-158833,140,GraphCut,UpperBound,2846
MaxCut-140-Xoshiro-241771,140,GraphCut,Heuristic,2751
MaxCut-140-Xoshiro-241771,140,GraphCut,UpperBound,2840
MaxCut-140-Xoshiro-251526,140,GraphCut,Heuristic,2741
MaxCut-140-Xoshiro-251526,140,GraphCut,UpperBound,2829
MaxCut-140-Xoshiro-453648,140,GraphCut,Heuristic,2804
MaxCut-140-Xoshiro-453648,140,GraphCut,UpperBound,2888
MaxCut-140-Xoshiro-506375,140,GraphCut,Heuristic,2740
MaxCut-140-Xoshiro-506375,140,GraphCut,UpperBound,2810
MaxCut-140-Xoshiro-548357,140,GraphCut,Heuristic,2741
MaxCut-140-Xoshiro-548357,140,GraphCut,UpperBound,2827
MaxCut-140-Xoshiro-628763,140,GraphCut,Heuristic,2739
MaxCut-140-Xoshiro-628763,140,GraphCut,UpperBound,2821
MaxCut-140-Xoshiro-696317,140,GraphCut,Heuristic,2786
MaxCut-140-Xoshiro-696317,140,GraphCut,UpperBound,2877
MaxCut-140-Xoshiro-736965,140,GraphCut,Heuristic,2733
MaxCut-140-Xoshiro-736965,140,GraphCut,UpperBound,2812
MaxCut-140-Xoshiro-821964,140,GraphCut,Heuristic,2732
MaxCut-140-Xoshiro-821964,140,GraphCut,UpperBound,2811
MaxCut-15-Xoshiro-110085,15,GraphCut,Best,42
MaxCut-15-Xoshiro-124792,15,GraphCut,Best,38
MaxCut-15-Xoshiro-234105,15,GraphCut,Best,34
MaxCut-15-Xoshiro-253812,15,GraphCut,Best,35
MaxCut-15-Xoshiro-491384,15,GraphCut,Best,36
MaxCut-15-Xoshiro-565146,15,GraphCut,Best,36
MaxCut-15-Xoshiro-609875,15,GraphCut,Best,36
MaxCut-15-Xoshiro-626794,15,GraphCut,Best,38
MaxCut-15-Xoshiro-672793,15,GraphCut,Best,40
MaxCut-15-Xoshiro-761916,15,GraphCut,Best,36
MaxCut-150-Xoshiro-125280,150,GraphCut,Heuristic,3119
MaxCut-150-Xoshiro-125280,150,GraphCut,UpperBound,3210
MaxCut-150-Xoshiro-344627,150,GraphCut,Heuristic,3149
MaxCut-150-Xoshiro-344627,150,GraphCut,UpperBound,3242
MaxCut-150-Xoshiro-490934,150,GraphCut,Heuristic,3172
MaxCut-150-Xoshiro-490934,150,GraphCut,UpperBound,3259
MaxCut-150-Xoshiro-62092,150,GraphCut,Heuristic,3188
MaxCut-150-Xoshiro-62092,150,GraphCut,UpperBound,3281
MaxCut-150-Xoshiro-719232,150,GraphCut,Heuristic,3163
MaxCut-150-Xoshiro-719232,150,GraphCut,UpperBound,3255
MaxCut-150-Xoshiro-790724,150,GraphCut,Heuristic,3142
MaxCut-150-Xoshiro-790724,150,GraphCut,UpperBound,3238
MaxCut-150-Xoshiro-831960,150,GraphCut,Heuristic,3133
MaxCut-150-Xoshiro-831960,150,GraphCut,UpperBound,3241
MaxCut-150-Xoshiro-83683,150,GraphCut,Heuristic,3198
MaxCut-150-Xoshiro-83683,150,GraphCut,UpperBound,3297
MaxCut-150-Xoshiro-891650,150,GraphCut,Heuristic,3181
MaxCut-150-Xoshiro-891650,150,GraphCut,UpperBound,3285
MaxCut-150-Xoshiro-99692,150,GraphCut,Heuristic,3168
MaxCut-150-Xoshiro-99692,150,GraphCut,UpperBound,3265
MaxCut-160-Xoshiro-164749,160,GraphCut,Heuristic,3582
MaxCut-160-Xoshiro-164749,160,GraphCut,UpperBound,3686
MaxCut-160-Xoshiro-219828,160,GraphCut,Heuristic,3567
MaxCut-160-Xoshiro-219828,160,GraphCut,UpperBound,3672
MaxCut-160-Xoshiro-467249,160,GraphCut,Heuristic,3573
MaxCut-160-Xoshiro-467249,160,GraphCut,UpperBound,3677
MaxCut-160-Xoshiro-523568,160,GraphCut,Heuristic,3529
MaxCut-160-Xoshiro-523568,160,GraphCut,UpperBound,3639
MaxCut-160-Xoshiro-699091,160,GraphCut,Heuristic,3572
MaxCut-160-Xoshiro-699091,160,GraphCut,UpperBound,3693
MaxCut-160-Xoshiro-733332,160,GraphCut,Heuristic,3547
