Instance,Metric,Value,Algorithm
G1,MaxCut,11624,BestKnown
G2,MaxCut,11620,BestKnown
G3,MaxCut,11622,BestKnown
G4,MaxCut,11646,BestKnown
G5,MaxCut,11631,BestKnown
G6,MaxCut,2178,BestKnown
G7,MaxCut,2006,BestKnown
G8,MaxCut,2005,BestKnown
G9,MaxCut,2054,BestKnown
G10,MaxCut,2000,BestKnown
G11,MaxCut,564,BestKnown
G12,MaxCut,556,BestKnown
G13,MaxCut,582,BestKnown
G14,MaxCut,3064,BestKnown
G15,MaxCut,3050,BestKnown
G16,MaxCut,3052,BestKnown
G17,MaxCut,3047,BestKnown
G18,MaxCut,992,BestKnown
G19,MaxCut,906,BestKnown
G20,MaxCut,941,BestKnown
G21,MaxCut,931,BestKnown
G22,MaxCut,13359,BestKnown
G23,MaxCut,13344,BestKnown
G24,MaxCut,13337,BestKnown
G25,MaxCut,13349,BestKnown
G26,MaxCut,13328,BestKnown
G27,MaxCut,3341,BestKnown
G28,MaxCut,3298,BestKnown
G29,MaxCut,3405,BestKnown
G30,MaxCut,3413,BestKnown
G31,MaxCut,3310,BestKnown
G32,MaxCut,1410,BestKnown
G33,MaxCut,1382,BestKnown
G34,MaxCut,1384,BestKnown
G35,MaxCut,7687,BestKnown
G36,MaxCut,7680,BestKnown
G37,MaxCut,7691,BestKnown
G38,MaxCut,7688,BestKnown
G39,MaxCut,2408,BestKnown
G40,MaxCut,2400,BestKnown
G41,MaxCut,2405,BestKnown
G42,MaxCut,2481,BestKnown
G43,MaxCut,6660,BestKnown
G44,MaxCut,6650,BestKnown
G45,MaxCut,6654,BestKnown
G46,MaxCut,6649,BestKnown
G47,MaxCut,6657,BestKnown
G48,MaxCut,6000,BestKnown
G49,MaxCut,6000,BestKnown
G50,MaxCut,5880,BestKnown
G51,MaxCut,3848,BestKnown
G52,MaxCut,3851,BestKnown
G53,MaxCut,3850,BestKnown
G54,MaxCut,3852,BestKnown
G55,MaxCut,10299,BestKnown
G56,MaxCut,4017,BestKnown
G57,MaxCut,3494,BestKnown
G58,MaxCut,19293,BestKnown
G59,MaxCut,6086,BestKnown
G60,MaxCut,14188,BestKnown
G61,MaxCut,5796,BestKnown
G62,MaxCut,4870,BestKnown
G63,MaxCut,27045,BestKnown
G64,MaxCut,8751,BestKnown
G65,MaxCut,5562,BestKnown
G66,MaxCut,6364,BestKnown
G67,MaxCut,6950,BestKnown
G70,MaxCut,9591,BestKnown
G72,MaxCut,7006,BestKnown
